 # x         y        
  0.962100029       0.00000000    
  0.962100029     -0.925636470    
  0.962100029      -3.50816250E-02
  0.962100029     -0.891884506    
  0.962100029      -1.71621466    
  0.962100029     -0.923126638    
  0.962100029      -1.68615651    
   1.69621122      -1.68615651    
   2.40249968      -1.68615651    
   1.72297955      -1.68615651    
   1.72297955      -2.33992290    
   2.35196805      -2.33992290    
   2.95711803      -2.33992290    
   3.53933287      -2.33992290    
   3.53933287      -1.77977407    
   3.00041366      -1.77977407    
   3.00041366      -2.29826832    
   3.00041366      -2.79711151    
   3.00041366      -3.27704859    
   2.53866625      -3.27704859    
   2.98291349      -3.27704859    
   3.41032386      -3.27704859    
   3.82153535      -3.27704859    
   3.82153535      -2.88142204    
   4.20216751      -2.88142204    
   4.20216751      -3.24762845    
   4.55449486      -3.24762845    
   4.55449486      -3.58660245    
   4.22836781      -3.58660245    
   4.54213428      -3.58660245    
   4.24025917      -3.58660245    
   4.53069305      -3.58660245    
   4.81011963      -3.58660245    
   5.07895565      -3.58660245    
   5.07895565      -3.84524965    
   5.07895565      -4.09409428    
   5.07895565      -3.85468078    
   5.30929518      -3.85468078    
   5.30929518      -3.63307095    
   5.09608459      -3.63307095    
   5.09608459      -3.42794085    
   5.29344034      -3.42794085    
   5.48331642      -3.42794085    
   5.66599607      -3.42794085    
   5.66599607      -3.60369682    
   5.49690104      -3.60369682    
   5.33421469      -3.60369682    
   5.17769432      -3.60369682    
   5.02710581      -3.60369682    
   5.02710581      -3.74857783    
   5.02710581      -3.60918784    
   4.89299870      -3.60918784    
   4.76397419      -3.60918784    
   4.88810873      -3.60918784    
   4.88810873      -3.48975801    
   4.77320528      -3.48975801    
   4.66265678      -3.48975801    
   4.55629826      -3.48975801    
   4.45397043      -3.48975801    
   4.45397043      -3.58820748    
   4.45397043      -3.68292570    
   4.36284208      -3.68292570    
   4.27516747      -3.68292570    
   4.27516747      -3.76727748    
   4.27516747      -3.84843230    
   4.19708824      -3.84843230    
   4.19708824      -3.92355227    
   4.26936102      -3.92355227    
   4.19982719      -3.92355227    
   4.19982719      -3.85665393    
   4.19982719      -3.79229093    
   4.19982719      -3.85421467    
   4.19982719      -3.91379142    
   4.14250851      -3.91379142    
   4.08736229      -3.91379142    
   4.03430605      -3.91379142    
