           1   0.0000000000000000      -0.90497737556561086     
           2 -0.90497737556561086      -0.45248868778280543     
           3 -0.45248868778280543      -0.75414781297134237     
           4 -0.75414781297134237      -0.52790346907993968     
           5 -0.52790346907993968      -0.70889894419306188     
           6 -0.70889894419306188      -0.55806938159879338     
           7 -0.55806938159879338      -0.68735186382245206     
           8 -0.68735186382245206      -0.57422969187675066     
           9 -0.57422969187675066      -0.67478273360626295     
          10 -0.67478273360626295      -0.58428499604970185     
          11 -0.58428499604970185      -0.66655566655566645     
          12 -0.66655566655566645      -0.59114088525853226     
          13 -0.59114088525853226      -0.66075452953281000     
          14 -0.66075452953281000      -0.59611328842098066     
          15 -0.59611328842098066      -0.65644511345868806     
          16 -0.65644511345868806      -0.59988402748583736     
          17 -0.59988402748583736      -0.65311799075440269     
          18 -0.65311799075440269      -0.60284146988964649     
          19 -0.60284146988964649      -0.65047185807731023     
          20 -0.65047185807731023      -0.60522298929902973     
          21 -0.60522298929902973      -0.64831715004024926     
          22 -0.64831715004024926      -0.60718181478726696     
          23 -0.60718181478726696      -0.64652865720316310     
          24 -0.64652865720316310      -0.60882126655459601     
          25 -0.60882126655459601      -0.64502036157722042     
          26 -0.64502036157722042      -0.61021353944008150     
          27 -0.61021353944008150      -0.64373122001658556     
          28 -0.64373122001658556      -0.61141059946067089     
          29 -0.61141059946067089      -0.64261671585948510     
          30 -0.64261671585948510      -0.61245080334063140     
          31 -0.61245080334063140      -0.64164362190726398     
          32 -0.64164362190726398      -0.61336307892083863     
          33 -0.61336307892083863      -0.64078663575616013     
          34 -0.64078663575616013      -0.61416965412187741     
          35 -0.61416965412187741      -0.64002615056660916     
          36 -0.64002615056660916      -0.61488789013423106     
          37 -0.61488789013423106      -0.63934673812249077     
          38 -0.63934673812249077      -0.61553154402865895     
          39 -0.61553154402865895      -0.63873609212008486     
          40 -0.63873609212008486      -0.61611165773094456     
          41 -0.61611165773094456      -0.63818427664717903     
          42 -0.63818427664717903      -0.61663719627656921     
          43 -0.61663719627656921      -0.63768318175483918     
          44 -0.63768318175483918      -0.61711551412834798     
          45 -0.61711551412834798      -0.63722612247425048     
          46 -0.63722612247425048      -0.61755270126630246     
          47 -0.61755270126630246      -0.63680753904429421     
          48 -0.63680753904429421      -0.61795384372001061     
          49 -0.61795384372001061      -0.63642276975196188     
          50 -0.63642276975196188      -0.61832322224064962     
          51 -0.61832322224064962      -0.63606787666350473     
          52 -0.63606787666350473      -0.61866446559493526     
          53 -0.61866446559493526      -0.63573951041692789     
          54 -0.63573951041692789      -0.61898067012867586     
          55 -0.61898067012867586      -0.63543480422986875     
          56 -0.63543480422986875      -0.61927449395191136     
          57 -0.61927449395191136      -0.63515129001446591     
          58 -0.63515129001446591      -0.61954823181505880     
          59 -0.61954823181505880      -0.63488683140091662     
          60 -0.63488683140091662      -0.61980387514148982     
          61 -0.61980387514148982      -0.63463956982289327     
          62 -0.63463956982289327      -0.62004316053957698     
          63 -0.62004316053957698      -0.63440788078665011     
          64 -0.63440788078665011      -0.62026760929343749     
          65 -0.62026760929343749      -0.63419033814829306     
          66 -0.63419033814829306      -0.62047855973063226     
          67 -0.62047855973063226      -0.63398568473907424     
          68 -0.63398568473907424      -0.62067719392193288     
          69 -0.62067719392193288      -0.63379280806056493     
          70 -0.63379280806056493      -0.62086455983819910     
          71 -0.62086455983819910      -0.63361072005743302     
          72 -0.63361072005743302      -0.62104158984124402     
